lunch_id,flight_number,flight_name,flight_success,date_utc,lunchpad_id,lunchpad_name,lunchpad_longitudes,lunchpad_latitude,payloads_Mass,Orbit,core_id,core_serial,core_block,core_flight_cunt,core_landing_attempt,core_landing_success,core_landing_type,core_is_legs,core_is_reused,core_reuse_count,core_status,landpad_id,landpad_name,landpad_longitudes,landpad_latitude
5eb87cddffd86e000604b32f,6,Falcon 9 Test Flight,TRUE,5/06/2010,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,4200,LEO,5e9e289ef359185f2b3b2628,B0003,1,1,FALSE,,,FALSE,FALSE,0,expended,,,,
5eb87cdeffd86e000604b330,7,COTS 1,TRUE,9/12/2010,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,6001,LEO,5e9e289ef35918187c3b2629,B0004,1,1,FALSE,,,FALSE,FALSE,0,lost,,,,
5eb87cdfffd86e000604b331,8,COTS 2,TRUE,2/05/2012,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,525,LEO,5e9e289ef35918f39c3b262a,B0005,1,1,FALSE,,,FALSE,FALSE,0,lost,,,,
5eb87ce0ffd86e000604b332,9,CRS-1,TRUE,8/10/2012,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,800,ISS,5e9e289ff3591821a73b262b,B0006,1,1,FALSE,,,FALSE,FALSE,0,lost,,,,
5eb87ce1ffd86e000604b333,10,CRS-2,TRUE,2/03/2013,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,677,ISS,5e9e289ff3591884e03b262c,B0007,1,1,FALSE,,,FALSE,FALSE,0,lost,,,,
5eb87ce1ffd86e000604b334,11,CASSIOPE,TRUE,30/09/2013,5e9e4502f509092b78566f87,VAFB SLC 4E,-120.610829,34.632093,500,PO,5e9e289ff359180ae23b262d,B1003,1,1,TRUE,FALSE,Ocean,FALSE,FALSE,0,lost,,,,
5eb87ce2ffd86e000604b335,12,SES-8,TRUE,4/12/2013,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,3170,GTO,5e9e289ff35918862c3b262e,B1004,1,1,FALSE,,,FALSE,FALSE,0,lost,,,,
5eb87ce3ffd86e000604b336,13,Thaicom 6,TRUE,7/01/2014,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,3325,GTO,5e9e289ff3591878603b262f,B1005,1,1,FALSE,,,FALSE,FALSE,0,lost,,,,
5eb87ce4ffd86e000604b337,14,CRS-3,TRUE,19/04/2014,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,2296,ISS,5e9e289ff3591829343b2630,B1006,1,1,TRUE,TRUE,Ocean,TRUE,FALSE,0,lost,,,,
5eb87ce4ffd86e000604b338,15,OG-2 Mission 1,TRUE,15/07/2014,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,1316,LEO,5e9e28a0f3591870a63b2631,B1007,1,1,TRUE,TRUE,Ocean,TRUE,FALSE,0,lost,,,,
5eb87ce5ffd86e000604b339,16,AsiaSat 8,TRUE,5/08/2014,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,4535,GTO,5e9e28a0f359186e2e3b2632,B1008,1,1,FALSE,,,FALSE,FALSE,0,lost,,,,
5eb87ce6ffd86e000604b33a,17,AsiaSat 6,TRUE,7/09/2014,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,4428,GTO,5e9e28a0f35918b1bc3b2633,B1011,1,1,FALSE,,,FALSE,FALSE,0,lost,,,,
5eb87ce7ffd86e000604b33b,18,CRS-4,TRUE,21/09/2014,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,2216,ISS,5e9e28a0f359184a683b2634,B1010,1,1,TRUE,FALSE,Ocean,FALSE,FALSE,0,lost,,,,
5eb87ce8ffd86e000604b33c,19,CRS-5,TRUE,10/01/2015,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,2395,ISS,5e9e28a0f359187a3c3b2635,B1012,1,1,TRUE,FALSE,ASDS,TRUE,FALSE,0,lost,5e9e3032383ecb761634e7cb,JRTI-1,-80.6188,28.4104
5eb87ceaffd86e000604b33d,20,DSCOVR,TRUE,12/02/2015,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,570,ES-L1,5e9e28a0f3591885be3b2636,B1013,1,1,TRUE,TRUE,Ocean,TRUE,FALSE,0,lost,,,,
5eb87ceaffd86e000604b33e,21,ABS-3A / Eutelsat 115W B,TRUE,2/03/2015,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,4159,GTO,5e9e28a0f35918c0893b2637,B1014,1,1,FALSE,,,FALSE,FALSE,0,lost,,,,
5eb87cecffd86e000604b33f,22,CRS-6,TRUE,15/04/2015,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,1898,ISS,5e9e28a1f359186d533b2638,B1015,1,1,TRUE,FALSE,ASDS,TRUE,FALSE,0,lost,5e9e3032383ecb761634e7cb,JRTI-1,-80.6188,28.4104
5eb87cedffd86e000604b340,23,TürkmenÄlem 52°E / MonacoSAT,TRUE,28/04/2015,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,4707,GTO,5e9e28a1f35918233f3b2639,B1016,1,1,FALSE,,,FALSE,FALSE,0,lost,,,,
5eb87ceeffd86e000604b341,24,CRS-7,FALSE,29/06/2015,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,2477,ISS,5e9e28a1f35918683c3b263a,B1018,1,1,TRUE,,ASDS,TRUE,FALSE,0,lost,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
5eb87cefffd86e000604b342,25,OG-2 Mission 2,TRUE,22/12/2015,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,2034,LEO,5e9e28a1f3591867753b263b,B1019,1,1,TRUE,TRUE,RTLS,TRUE,FALSE,0,inactive,5e9e3032383ecb267a34e7c7,LZ-1,-80.544444,28.485833
5eb87cf0ffd86e000604b343,26,Jason 3,TRUE,18/01/2016,5e9e4502f509092b78566f87,VAFB SLC 4E,-120.610829,34.632093,553,PO,5e9e28a1f3591842fa3b263c,B1017,1,1,TRUE,FALSE,ASDS,TRUE,FALSE,0,lost,5e9e3033383ecbb9e534e7cc,JRTI,-80.6188,28.4104
5eb87cf2ffd86e000604b344,27,SES-9,TRUE,5/03/2016,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,5271,GTO,5e9e28a1f359188def3b263d,B1020,1,1,TRUE,FALSE,ASDS,TRUE,FALSE,0,lost,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
5eb87cf3ffd86e000604b345,28,CRS-8,TRUE,9/04/2016,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,3136,ISS,5e9e28a2f359182d0b3b263e,B1021,2,1,TRUE,TRUE,ASDS,TRUE,FALSE,1,inactive,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
5eb87cf5ffd86e000604b346,29,JCSAT-2B,TRUE,6/05/2016,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,4696,GTO,5e9e28a2f35918077b3b263f,B1022,2,1,TRUE,TRUE,ASDS,TRUE,FALSE,0,inactive,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
5eb87cf6ffd86e000604b347,30,Thaicom 8,TRUE,28/05/2016,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,3100,GTO,5e9e28a2f3591845c73b2640,B1023,2,1,TRUE,TRUE,ASDS,TRUE,FALSE,1,inactive,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
5eb87cf8ffd86e000604b348,31,ABS-2A / Eutelsat 117W B,TRUE,16/06/2016,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,3600,GTO,5e9e28a2f359184f403b2641,B1024,2,1,TRUE,FALSE,ASDS,TRUE,FALSE,0,lost,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
5eb87cf9ffd86e000604b349,32,CRS-9,TRUE,18/07/2016,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,2257,ISS,5e9e28a2f359187f273b2642,B1025,2,1,TRUE,TRUE,RTLS,TRUE,FALSE,1,inactive,5e9e3032383ecb267a34e7c7,LZ-1,-80.544444,28.485833
5eb87cfaffd86e000604b34a,33,JCSAT-16,TRUE,14/08/2016,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,4600,GTO,5e9e28a2f35918b8243b2643,B1026,2,1,TRUE,TRUE,ASDS,TRUE,FALSE,0,inactive,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
5eb87cfbffd86e000604b34b,34,Amos-6,FALSE,1/09/2016,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,5500,GTO,5e9e28a2f359187ee83b2644,B1028,3,1,TRUE,,ASDS,TRUE,FALSE,0,lost,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
5eb87cfdffd86e000604b34c,35,Iridium NEXT Mission 1,TRUE,15/01/2017,5e9e4502f509092b78566f87,VAFB SLC 4E,-120.610829,34.632093,9600,PO,5e9e28a3f359189e3a3b2645,B1029,3,1,TRUE,TRUE,ASDS,TRUE,FALSE,1,inactive,5e9e3033383ecbb9e534e7cc,JRTI,-80.6188,28.4104
5eb87cfeffd86e000604b34d,36,CRS-10,TRUE,20/02/2017,5e9e4502f509094188566f88,KSC LC 39A,-80.6039558,28.6080585,2490,ISS,5e9e28a3f3591829dc3b2646,B1031,3,1,TRUE,TRUE,RTLS,TRUE,FALSE,1,inactive,5e9e3032383ecb267a34e7c7,LZ-1,-80.544444,28.485833
5eb87cfeffd86e000604b34e,37,EchoStar 23,TRUE,16/03/2017,5e9e4502f509094188566f88,KSC LC 39A,-80.6039558,28.6080585,5600,GTO,5e9e28a3f3591878473b2647,B1030,3,1,FALSE,,,FALSE,FALSE,0,expended,,,,
5eb87d00ffd86e000604b34f,38,SES-10,TRUE,31/03/2017,5e9e4502f509094188566f88,KSC LC 39A,-80.6039558,28.6080585,5300,GTO,5e9e28a2f359182d0b3b263e,B1021,2,2,TRUE,TRUE,ASDS,TRUE,TRUE,1,inactive,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
5eb87d01ffd86e000604b350,39,NROL-76,TRUE,1/05/2017,5e9e4502f509094188566f88,KSC LC 39A,-80.6039558,28.6080585,8000,LEO,5e9e28a3f3591811f83b2648,B1032,3,1,TRUE,TRUE,RTLS,TRUE,FALSE,1,lost,5e9e3032383ecb267a34e7c7,LZ-1,-80.544444,28.485833
5eb87d01ffd86e000604b351,40,Inmarsat-5 F4,TRUE,16/05/2017,5e9e4502f509094188566f88,KSC LC 39A,-80.6039558,28.6080585,6070,GTO,5e9e28a3f359186f3f3b2649,B1034,3,1,FALSE,,,FALSE,FALSE,0,expended,,,,
5eb87d03ffd86e000604b352,41,CRS-11,TRUE,4/06/2017,5e9e4502f509094188566f88,KSC LC 39A,-80.6039558,28.6080585,2708,ISS,5e9e28a3f3591856803b264a,B1035,3,1,TRUE,TRUE,RTLS,TRUE,FALSE,1,inactive,5e9e3032383ecb267a34e7c7,LZ-1,-80.544444,28.485833
5eb87d04ffd86e000604b353,42,BulgariaSat-1,TRUE,24/06/2017,5e9e4502f509094188566f88,KSC LC 39A,-80.6039558,28.6080585,3669,GTO,5e9e28a3f359189e3a3b2645,B1029,3,2,TRUE,TRUE,ASDS,TRUE,TRUE,1,inactive,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
5eb87d05ffd86e000604b354,43,Iridium NEXT Mission 2,TRUE,26/06/2017,5e9e4502f509092b78566f87,VAFB SLC 4E,-120.610829,34.632093,9600,PO,5e9e28a3f3591801cf3b264b,B1036,3,1,TRUE,TRUE,ASDS,TRUE,FALSE,1,lost,5e9e3033383ecbb9e534e7cc,JRTI,-80.6188,28.4104
5eb87d06ffd86e000604b355,44,Intelsat 35e,TRUE,6/07/2017,5e9e4502f509094188566f88,KSC LC 39A,-80.6039558,28.6080585,6761,GTO,5e9e28a4f3591850cc3b264c,B1037,3,1,FALSE,,,FALSE,FALSE,0,expended,,,,
5eb87d07ffd86e000604b356,45,CRS-12,TRUE,15/08/2017,5e9e4502f509094188566f88,KSC LC 39A,-80.6039558,28.6080585,2910,ISS,5e9e28a4f3591884ee3b264d,B1039,4,1,TRUE,TRUE,RTLS,TRUE,FALSE,1,expended,5e9e3032383ecb267a34e7c7,LZ-1,-80.544444,28.485833
5eb87d08ffd86e000604b357,46,FormoSat-5,TRUE,25/08/2017,5e9e4502f509092b78566f87,VAFB SLC 4E,-120.610829,34.632093,475,SSO,5e9e28a4f359182d843b264e,B1038,3,1,TRUE,TRUE,ASDS,TRUE,FALSE,1,expended,5e9e3033383ecbb9e534e7cc,JRTI,-80.6188,28.4104
5eb87d09ffd86e000604b358,47,Boeing X-37B OTV-5,TRUE,7/09/2017,5e9e4502f509094188566f88,KSC LC 39A,-80.6039558,28.6080585,4990,LEO,5e9e28a4f3591845123b264f,B1040,4,1,TRUE,TRUE,RTLS,TRUE,FALSE,1,expended,5e9e3032383ecb267a34e7c7,LZ-1,-80.544444,28.485833
5eb87d0affd86e000604b359,48,Iridium NEXT Mission 3,TRUE,9/10/2017,5e9e4502f509092b78566f87,VAFB SLC 4E,-120.610829,34.632093,9600,PO,5e9e28a4f3591843103b2650,B1041,4,1,TRUE,TRUE,ASDS,TRUE,FALSE,1,expended,5e9e3033383ecbb9e534e7cc,JRTI,-80.6188,28.4104
5eb87d0cffd86e000604b35a,49,SES-11 / Echostar 105,TRUE,12/10/2017,5e9e4502f509094188566f88,KSC LC 39A,-80.6039558,28.6080585,5200,GTO,5e9e28a3f3591829dc3b2646,B1031,3,2,TRUE,TRUE,ASDS,TRUE,TRUE,1,inactive,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
5eb87d0dffd86e000604b35b,50,KoreaSat 5A,TRUE,31/10/2017,5e9e4502f509094188566f88,KSC LC 39A,-80.6039558,28.6080585,3700,GTO,5e9e28a4f359185cc03b2651,B1042,4,1,TRUE,TRUE,ASDS,TRUE,FALSE,0,inactive,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
5eb87d0effd86e000604b35c,51,CRS-13,TRUE,16/12/2017,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,2205,ISS,5e9e28a3f3591856803b264a,B1035,3,2,TRUE,TRUE,RTLS,TRUE,TRUE,1,inactive,5e9e3032383ecb267a34e7c7,LZ-1,-80.544444,28.485833
5eb87d0fffd86e000604b35d,52,Iridium NEXT Mission 4,TRUE,23/12/2017,5e9e4502f509092b78566f87,VAFB SLC 4E,-120.610829,34.632093,9600,PO,5e9e28a3f3591801cf3b264b,B1036,3,2,TRUE,TRUE,Ocean,FALSE,TRUE,1,lost,,,,
5eb87d10ffd86e000604b35e,53,ZUMA,TRUE,8/01/2018,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,8000,LEO,5e9e28a4f35918345e3b2652,B1043,4,1,TRUE,TRUE,RTLS,TRUE,FALSE,1,expended,5e9e3032383ecb267a34e7c7,LZ-1,-80.544444,28.485833
5eb87d11ffd86e000604b35f,54,SES-16 / GovSat-1,TRUE,1/02/2018,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,4230,GTO,5e9e28a3f3591811f83b2648,B1032,3,2,TRUE,TRUE,Ocean,TRUE,TRUE,1,lost,,,,
5eb87d14ffd86e000604b361,56,Paz / Starlink Demo,TRUE,23/02/2018,5e9e4502f509092b78566f87,VAFB SLC 4E,-120.610829,34.632093,2150,SSO,5e9e28a4f359182d843b264e,B1038,3,2,FALSE,,,FALSE,TRUE,1,expended,,,,
5eb87d15ffd86e000604b362,57,Hispasat 30W-6,TRUE,6/03/2018,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,6092,GTO,5e9e28a5f359186cb73b2654,B1044,4,1,FALSE,,,TRUE,FALSE,0,expended,,,,
5eb87d16ffd86e000604b363,58,Iridium NEXT Mission 5,TRUE,31/03/2018,5e9e4502f509092b78566f87,VAFB SLC 4E,-120.610829,34.632093,9600,PO,5e9e28a4f3591843103b2650,B1041,4,2,FALSE,,,TRUE,TRUE,1,expended,,,,
5eb87d16ffd86e000604b364,59,CRS-14,TRUE,3/04/2018,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,2760,ISS,5e9e28a4f3591884ee3b264d,B1039,4,2,FALSE,,,TRUE,TRUE,1,expended,,,,
5eb87d18ffd86e000604b365,60,TESS,TRUE,19/04/2018,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,350,HEO,5e9e28a5f35918863d3b2655,B1045,4,1,TRUE,TRUE,ASDS,TRUE,FALSE,1,expended,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
5eb87d19ffd86e000604b366,61,Bangabandhu-1,TRUE,12/05/2018,5e9e4502f509094188566f88,KSC LC 39A,-80.6039558,28.6080585,3750,GTO,5e9e28a5f359182b023b2656,B1046,5,1,TRUE,TRUE,ASDS,TRUE,FALSE,3,expended,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
5eb87d1affd86e000604b367,62,Iridium NEXT Mission 6,TRUE,23/05/2018,5e9e4502f509092b78566f87,VAFB SLC 4E,-120.610829,34.632093,5460,PO,5e9e28a4f35918345e3b2652,B1043,4,2,FALSE,,,FALSE,TRUE,1,expended,,,,
5eb87d1bffd86e000604b368,63,SES-12,TRUE,4/06/2018,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,5383.85,GTO,5e9e28a4f3591845123b264f,B1040,4,2,FALSE,,,FALSE,TRUE,1,expended,,,,
5eb87d1cffd86e000604b369,64,CRS-15,TRUE,29/06/2018,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,2410,ISS,5e9e28a5f35918863d3b2655,B1045,4,2,FALSE,,,FALSE,TRUE,1,expended,,,,
5eb87d1effd86e000604b36a,65,Telstar 19V,TRUE,22/07/2018,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,7076,GTO,5e9e28a5f359181eed3b2657,B1047,5,1,TRUE,TRUE,ASDS,TRUE,FALSE,2,expended,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
5eb87d1fffd86e000604b36b,66,Iridium NEXT Mission 7,TRUE,25/07/2018,5e9e4502f509092b78566f87,VAFB SLC 4E,-120.610829,34.632093,9600,PO,5e9e28a5f3591809c03b2658,B1048,5,1,TRUE,TRUE,ASDS,TRUE,FALSE,4,lost,5e9e3033383ecbb9e534e7cc,JRTI,-80.6188,28.4104
5eb87d20ffd86e000604b36c,67,Merah Putih,TRUE,7/08/2018,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,5800,GTO,5e9e28a5f359182b023b2656,B1046,5,2,TRUE,TRUE,ASDS,TRUE,TRUE,3,expended,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
5eb87d22ffd86e000604b36d,68,Telstar 18V,TRUE,10/09/2018,5e9e4501f509094ba4566f84,CCSFS SLC 40,-80.577366,28.5618571,7060,GTO,5e9e28a5f3591833b13b2659,B1049,5,1,TRUE,TRUE,ASDS,TRUE,FALSE,9,expended,5e9e3032383ecb6bb234e7ca,OCISLY,-118.262015,33.7291858
5eb87d23ffd86e000604b36e,69,SAOCOM 1A,TRUE,8/10/2018,5e9e4502f509092b78566f87,VAFB SLC 4E,-120.610829,34.632093,2800,SSO,5e9e28a5f3591809c03b2658,B1048,5,2,TRUE,TRUE,RTLS,TRUE,TRUE,4,lost,5e9e3032383ecb554034e7c9,LZ-4,-120.615167,34.632989
